origin_denosing_value,attack_denosing_value,origin_pca_value,attack_pca_value,origin_OPA2D_value,attack_OPA2D_value
0.9999932,0.9859194,0.076093376,0.19058853,0,0
7.5101852e-06,0.0014611483,0.004589975,0.00093764067,0,0
1.1920929e-07,1.9907951e-05,1.1920929e-07,1.7523766e-05,0,0
0.037654042,0.01039356,3.9100647e-05,0.013757408,0,0
2.6226044e-06,0.010708511,0.002452314,0.0011464357,0,0
2.3961067e-05,0.017910838,0.0022889376,0.17888874,0,0
0.0,9.1314316e-05,0.0,9.1314316e-05,0,0
0.013137698,0.00035369396,0.0,0.013869941,0,0
0.9883391,0.8007633,0.9090043,0.79841095,0,0
9.286404e-05,0.55592996,0.0021498203,0.08053905,0,0
0.58303225,0.6246128,1.7166138e-05,0.005405724,0,0
2.7418137e-06,0.45159295,0.7294327,0.38717014,0,0
0.29954612,0.91645104,0.9369705,0.01248318,0,0
0.028439581,0.68465835,0.33725744,0.20601502,0,0
0.019401014,0.7965448,0.25567412,0.73133004,0,0
0.00051397085,0.01726222,0.14258474,0.8709823,0,0
0.0,0.0,0.0,0.0,0,0
7.224083e-05,0.0002529621,6.425381e-05,0.0002156496,0,0
0.011675239,0.014855802,0.0013705492,0.04114163,0,0
0.027891815,0.98878956,0.92898035,0.77384996,0,0
2.503395e-06,4.9114227e-05,1.1920929e-07,5.1617622e-05,0,0
4.4226646e-05,8.34465e-07,0.0,0.00011301041,0,0
2.3841858e-07,0.16690403,0.0024276376,0.14522278,0,0
0.8631123,0.47397757,8.9764595e-05,0.37184078,0,0
0.065347075,0.05934745,0.0081532,0.032045186,0,0
0.9848179,0.7465436,0.00089776516,0.73547506,0,0
0.0014400482,0.5823708,0.0013659,0.55569565,0,0
0.022091746,0.91100174,0.0064382553,0.8955669,0,0
1.1920929e-07,2.3841858e-07,0.0,3.5762787e-07,0,0
6.198883e-06,7.987022e-06,2.9563904e-05,3.695488e-06,0,0
2.503395e-06,1.0371208e-05,6.151199e-05,0.00063580275,0,0
0.9724684,0.80193955,0.089597404,0.5985987,0,0
0.06337756,0.48494965,0.0001795888,0.462318,0,0
2.503395e-06,0.0006120205,3.5762787e-07,0.0005134344,0,0
0.8826078,0.5568903,0.08089727,0.28866118,0,0
3.7431717e-05,2.9087067e-05,4.172325e-06,3.5881996e-05,0,0
6.7949295e-05,8.2969666e-05,1.1920929e-07,5.1259995e-06,0,0
7.748604e-06,0.039635003,5.0902367e-05,0.92912143,0,0
0.7508279,0.7512051,0.00019699335,0.0005104542,0,0
1.1920929e-07,0.0005174875,4.172325e-06,0.00049352646,0,0
0.026367188,0.8328783,0.015250683,0.83447933,0,0
0.0001320839,0.0007843375,6.7949295e-06,3.325939e-05,0,0
0.0064499974,0.3168558,0.3814273,0.26050523,0,0
0.24092728,0.4236564,0.013193846,0.4594993,0,0
0.0,0.35864693,0.0,0.35864562,0,0
7.1525574e-07,0.000101327896,0.00032162666,0.0014331341,0,0
0.32990557,0.3256213,2.3841858e-06,0.0006682277,0,0
0.007081926,0.00043153763,0.100608826,0.044050515,0,0
0.8710204,0.9067527,6.198883e-05,1.9788742e-05,0,0
0.13473505,0.13161802,4.0888786e-05,0.0025846958,0,0
0.0,0.0,0.0,0.0,0,0
0.9999997,0.52724475,1.1920929e-07,0.52387714,0,0
0.17912513,0.6843366,0.00032418966,0.9823027,0,0
2.2649765e-06,2.6226044e-06,4.053116e-06,9.655952e-06,0,0
0.94444364,0.5671463,0.0007237792,0.3946594,0,0
0.64629924,0.5037097,0.017143488,0.5037659,0,0
0.06916255,0.87926805,0.1518901,0.92233497,0,0
0.2964483,0.42115992,3.2186508e-06,0.014346063,0,0
0.068339884,0.07933736,1.1920929e-07,0.18829143,0,0
0.9446621,0.8280541,0.6481342,0.7129365,0,0
0.00673002,0.06548065,0.0003092885,0.07237595,0,0
0.10464913,0.09143537,0.0036465526,0.16263765,0,0
7.1525574e-07,0.001434505,0.0051929355,0.9426555,0,0
0.96305805,0.9031028,2.8371811e-05,0.022735715,0,0
0.9896585,0.4622442,0.9960005,0.51263314,0,0
0.5435896,0.4980635,0.011921346,0.046056867,0,0
0.0,0.0007939935,0.0,0.00079125166,0,0
4.6491623e-06,0.008323073,0.0010966063,0.49912176,0,0
7.8082085e-05,0.048475146,0.91176033,0.8613334,0,0
0.0036270022,0.9769493,0.007653415,0.98531157,0,0
2.3841858e-07,1.013279e-05,6.3180923e-06,1.5497208e-06,0,0
0.18630016,0.2314521,3.4570694e-06,0.0056223273,0,0
9.572506e-05,0.03282267,0.00038778782,0.032821238,0,0
0.04910499,0.8225963,0.0008030534,0.8225918,0,0
0.99996835,0.99937063,1.7046928e-05,0.066093445,0,0
0.0006032586,0.5268944,0.8768221,0.40372145,0,0
0.0005862713,0.1077984,8.34465e-07,0.10859889,0,0
5.865097e-05,0.063574016,7.6413155e-05,0.06014234,0,0
0.0,0.0005198121,0.0,0.0005198121,0,0
0.011190712,0.019176781,0.0,6.1035156e-05,0,0
3.0994415e-06,0.0001809001,6.556511e-06,0.00018757582,0,0
2.3841858e-07,0.0003989339,2.9921532e-05,0.00024551153,0,0
0.00011599064,0.005578041,0.00012719631,0.00557065,0,0
5.9843063e-05,0.50500447,0.95239645,0.48441175,0,0
0.0012321472,0.0031791925,1.9073486e-06,5.6028366e-06,0,0
0.0,0.0052493215,0.65565467,0.6520715,0,0
0.0001232624,0.0001642108,0.021808565,0.4531203,0,0
2.5749207e-05,0.021569133,0.0,0.012781143,0,0
0.0,0.0,0.0,0.0,0,0
0.99978447,0.5609891,1.7046928e-05,0.5622289,0,0
7.414818e-05,0.0005866885,3.9100647e-05,0.0012888312,0,0
0.95320445,0.3880207,0.062763095,0.31966186,0,0
0.74942315,0.9618387,0.7407957,0.9604225,0,0
3.9339066e-06,0.017345488,0.005492449,0.27725714,0,0
0.00024062395,0.00080519915,0.0,1.1920929e-07,0,0
0.095199645,0.8715742,0.0011207461,0.9738492,0,0
2.849102e-05,8.225441e-06,0.0,3.1113625e-05,0,0
0.11824077,0.04927206,0.60452044,0.8749286,0,0
6.6399574e-05,0.0491724,0.041644514,0.5537429,0,0
3.5762787e-07,0.00034058094,3.5762787e-06,0.0008530617,0,0
